=== Run information ===

Scheme:       weka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 4 -A "weka.core.EuclideanDistance -R first-last" -I 500 -num-slots 1 -S 10
Relation:     Sales_Transactions_Dataset_Weekly
Instances:    811
Attributes:   107
              [list of attributes omitted]
Test mode:    evaluate on training data


=== Clustering model (full training set) ===


kMeans
======

Number of iterations: 20
Within cluster sum of squared errors: 3320.6883338601037

Initial starting points (random):

Cluster 0: P387,5,3,0,1,9,5,10,5,0,6,3,2,2,2,4,4,4,4,2,6,2,5,2,1,5,5,3,1,4,1,2,3,0,1,1,2,2,4,3,2,4,0,6,4,1,2,3,2,1,5,4,9,0,10,0.5,0.3,0,0.1,0.9,0.5,1,0.5,0,0.6,0.3,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.2,0.6,0.2,0.5,0.2,0.1,0.5,0.5,0.3,0.1,0.4,0.1,0.2,0.3,0,0.1,0.1,0.2,0.2,0.4,0.3,0.2,0.4,0,0.6,0.4,0.1,0.2,0.3,0.2,0.1,0.5,0.4,0.9
Cluster 1: P61,25,30,32,47,45,50,40,35,33,33,35,43,41,32,38,40,30,36,27,26,39,38,34,33,24,22,18,36,28,33,27,24,25,30,31,30,19,26,36,28,39,35,37,32,25,31,29,28,37,22,31,26,18,50,0.22,0.38,0.44,0.91,0.84,1,0.69,0.53,0.47,0.47,0.53,0.78,0.72,0.44,0.63,0.69,0.38,0.56,0.28,0.25,0.66,0.63,0.5,0.47,0.19,0.13,0,0.56,0.31,0.47,0.28,0.19,0.22,0.38,0.41,0.38,0.03,0.25,0.56,0.31,0.66,0.53,0.59,0.44,0.22,0.41,0.34,0.31,0.59,0.13,0.41,0.25
Cluster 2: P279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 3: P663,0,0,0,2,0,0,0,0,0,0,0,1,0,3,1,1,1,0,0,1,0,1,0,0,1,2,1,0,0,1,1,2,1,3,0,1,1,1,0,1,1,0,0,2,0,2,0,1,1,1,2,1,0,3,0,0,0,0.67,0,0,0,0,0,0,0,0.33,0,1,0.33,0.33,0.33,0,0,0.33,0,0.33,0,0,0.33,0.67,0.33,0,0,0.33,0.33,0.67,0.33,1,0,0.33,0.33,0.33,0,0.33,0.33,0,0,0.67,0,0.67,0,0.33,0.33,0.33,0.67,0.33

Missing values globally replaced with mean/mode

Final cluster centroids:
                             Cluster#
Attribute        Full Data          0          1          2          3
W48                 8.6745    11.2551    31.5285     0.5926     3.5631
W49                 8.8952     11.852     30.878     0.6407     4.1441
W50                 8.8619    12.8929    28.3984     0.7185     4.3829
W51                  8.889    14.2143     24.065     1.0481     5.3153
MIN                 3.7805     3.9898    17.9756     0.0037     0.3243
MAX                16.3083    21.6888    51.4228     2.4148          9
Normalized 0        0.2894     0.4533     0.4806     0.0619     0.3155
Normalized 1        0.2991      0.453     0.5234     0.0713     0.3161
Normalized 2        0.3067     0.4634     0.5725     0.0667     0.3132
Normalized 3        0.3199     0.4638     0.6186     0.0684     0.3331
Normalized 4        0.3269     0.4817      0.571     0.0894     0.3439
Normalized 5        0.3194     0.5048     0.5476     0.0757     0.3257
Normalized 6        0.3328      0.492     0.6028      0.085     0.3442
Normalized 7        0.3266     0.4755     0.5673     0.0677     0.3766
Normalized 8        0.3243     0.4915     0.6079     0.0574     0.3443
Normalized 9        0.3268     0.4814     0.5878     0.0711     0.3569
Normalized 10       0.3311     0.4912     0.6152      0.076     0.3427
Normalized 11       0.3315     0.5259      0.567     0.0641     0.3545
Normalized 12       0.3389     0.5004     0.5984     0.0768     0.3713
Normalized 13       0.3316     0.4744      0.587     0.0989      0.347
Normalized 14       0.3558     0.4983     0.6072     0.1123     0.3867
Normalized 15       0.3448     0.5048     0.6297      0.072     0.3775
Normalized 16       0.3359     0.5093     0.6353     0.0638     0.3479
Normalized 17       0.3453     0.5269     0.5815     0.0808     0.3756
Normalized 18        0.355     0.5027     0.6129      0.108     0.3821
Normalized 19       0.3302     0.4859     0.5655     0.0839     0.3619
Normalized 20       0.3403     0.4976     0.5915     0.1016     0.3525
Normalized 21       0.3536     0.5043     0.5434     0.1404     0.3745
Normalized 22        0.366     0.5209     0.5533     0.1352     0.4063
Normalized 23       0.3706     0.5282     0.5125     0.1221     0.4552
Normalized 24       0.4177     0.6192     0.4433     0.1837     0.5102
Normalized 25       0.3896     0.5763     0.2309     0.2244     0.5137
Normalized 26       0.2076     0.2817      0.252     0.0813     0.2712
Normalized 27        0.223     0.3073     0.2893     0.0899     0.2738
Normalized 28       0.2296     0.3024     0.3294     0.0957     0.2728
Normalized 29       0.2244     0.2964     0.3191     0.0876     0.2746
Normalized 30       0.2405      0.314     0.3567     0.0953     0.2878
Normalized 31       0.2504     0.3241     0.3321     0.1191     0.2997
Normalized 32       0.2483     0.3411      0.369     0.1084     0.2697
Normalized 33       0.2594     0.3381     0.3785     0.1101     0.3055
Normalized 34       0.2623     0.3544     0.3806     0.0994     0.3134
Normalized 35       0.2689     0.3711     0.3783     0.1084     0.3133
Normalized 36       0.2702     0.3335     0.3894     0.1195     0.3314
Normalized 37       0.2731     0.3649     0.3817     0.1219     0.3159
Normalized 38       0.2775     0.3514     0.4183     0.1146     0.3323
Normalized 39        0.265     0.3406     0.3771     0.1099     0.3248
Normalized 40       0.2864     0.3394     0.4058      0.137     0.3551
Normalized 41       0.2794     0.3636      0.405     0.1233     0.3253
Normalized 42       0.2991     0.3551     0.4255     0.1501      0.361
Normalized 43       0.2876     0.3614     0.4139     0.1284      0.346
Normalized 44       0.3048     0.3683     0.4176     0.1559     0.3675
Normalized 45        0.316     0.3657     0.4403     0.1816     0.3668
Normalized 46       0.3348     0.3693     0.4523     0.2162     0.3833
Normalized 47       0.3146     0.4017     0.4296     0.1453       0.38
Normalized 48       0.3382     0.4052     0.4049     0.2233     0.3817
Normalized 49       0.3589      0.443     0.3871     0.2099     0.4503
Normalized 50        0.373     0.4919     0.3105     0.2393     0.4653
Normalized 51       0.4279     0.5588     0.1804      0.331     0.5675




Time taken to build model (full training data) : 0.19 seconds

=== Model and evaluation on training set ===

Clustered Instances

0      196 ( 24%)
1      123 ( 15%)
2      270 ( 33%)
3      222 ( 27%)

